geneName dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP qvalue
ANKRD11 0 32 1.12154e-05 4.91828790668051e-06 5.96364329522413e+61 1 0
ARID1B 0 30 9.81608e-06 4.62395835261198e-06 7.13127700602222e+57 1 0
MLL 1 26 1.19316e-05 9.0847112184547e-06 7.82984115412929e+48 1 0
ADNP 1 19 2.26581e-06 2.1002491732146e-06 1.78223788260938e+38 1 0
DYRK1A 4 14 4.53477e-06 2.14546054831281e-06 1.24529022253888e+32 1 0
MED13L 5 13 1.5154e-05 4.66103434619077e-06 3.64069056779863e+29 1 0
SETD5 2 14 5.68346e-06 4.02917196886633e-06 3.00636131075884e+28 1 0
ASXL3 0 14 2.02049e-07 3.78772564201285e-06 2.00174494044477e+26 1 0
EP300 3 12 1.62564e-05 6.51854331221545e-06 1.12942174329235e+24 1 0
SYNGAP1 0 13 1.01017e-05 3.35259088153957e-06 4.75336090091573e+23 1 0
TCF4 4 9 7.50015e-06 2.64042247733194e-06 4.3875917258302e+21 1 0
CTNNB1 0 11 5.59104e-06 2.14460372275479e-06 2.98213868531413e+20 1 0
SATB2 4 8 2.56098e-06 1.768700948271e-06 2.80073995321687e+20 1 0
FOXP1 4 8 5.55467e-06 3.10835730389095e-06 48110717481186811904 1 0
PURA 3 7 4.67146e-06 5.7876428523843e-07 186606220216640128 1 1.48029736616688e-17
STXBP1 6 5 7.70965e-06 1.7507438084137e-06 77995743136005936 1 4.16333634234434e-17
SCN2A 9 4 2.26321e-05 4.6334697402519e-06 60956787443641536 0.999999999999999 7.18379604169219e-17
PPP2R5D 12 0 7.47903e-06 1.80013968259769e-06 13127236924022170 0.999999999999997 2.15876699232669e-16
AHDC1 0 8 1.04146e-10 2.51323738571129e-06 682738892495912 0.99999999999995 2.84567691048659e-15
KANSL1 0 8 4.27678e-06 3.00688095782122e-06 204609520125739 0.999999999999833 1.10689235555128e-14
EHMT1 2 7 1.10091e-05 3.61048028493209e-06 188975316129140 0.999999999999819 1.9169850891861e-14
KAT6B 0 8 7.61412e-06 4.3331073243742e-06 38570282858183 0.999999999999113 5.86349151050895e-14
KAT6A 0 8 8.19276e-06 5.14191440557725e-06 18309675882315.9 0.999999999998131 1.37363550485905e-13
GATAD2B 0 7 1.89206e-06 1.73269966174952e-06 9452376103253.03 0.999999999996379 2.82519378262217e-13
HNRNPU 0 7 4.85438e-06 2.27759450891698e-06 3513067433740.97 0.999999999990257 6.60946852804045e-13
MEF2C 4 4 6.44825e-06 1.63366430093888e-06 1718078934727.48 0.999999999980078 1.40177186098028e-12
NSD1 1 7 1.01472e-05 6.00529498339155e-06 1530990281515.62 0.999999999977643 2.17788749997302e-12
KCNQ2 9 0 7.01122e-06 1.97214244366335e-06 365379172577.42 0.999999999906321 5.44577874858224e-12
CREBBP 7 3 2.19331e-05 6.40586946653035e-06 315192844948.132 0.999999999891405 9.00264154411984e-12
SLC6A1 6 2 5.61583e-06 1.49108834268866e-06 211893657192.999 0.999999999838465 1.40870685486997e-11
POGZ 0 6 1.66393e-06 3.70945515689399e-06 21999520076.3326 0.999999998444133 6.38219011689546e-11
PACS1 8 0 6.70926e-06 2.41264606235868e-06 9262074743.86159 0.999999996304465 1.7731294904566e-10
TBL1XR1 2 4 2.51605e-06 1.558586943835e-06 6600443953.11902 0.999999994814239 3.29084106766255e-10
CHD2 0 6 1.04146e-10 5.77591540462115e-06 6103339879.51468 0.99999999439187 4.84350174346977e-10
SMARCA2 9 0 1.79418e-05 4.68603942318999e-06 3240146171.79084 0.999999989436179 7.72335062571017e-10
CHAMP1 0 5 6.4402e-07 1.19097206899173e-06 2106939502.3844 0.999999983754481 1.20214571630584e-09
PPM1D 0 5 3.68141e-06 1.87766738497205e-06 691735913.196939 0.999999950518221 2.50700067312366e-09
ZBTB18 1 4 1.9537e-06 8.61319637398345e-07 530219310.66958 0.999999935444971 4.13984353522947e-09
TCF20 0 5 2.32662e-06 3.35334756910503e-06 281268519.504697 0.999999878307315 7.15401894988933e-09
NFIX 1 4 6.53566e-06 1.30729106666547e-06 153703188.732866 0.999999777308993 1.25424436392407e-08
BCL11A 2 3 4.96658e-06 1.37356400343921e-06 50858622.0823456 0.999999326991158 2.86513801951952e-08
